#1.mag_r   #2.quartil1   #3.median   #4.quartil3    #5.mean    #6.sigma2
-22.000000   0.674789    0.789956    0.940139   0.788602  0.026425
-21.533333   0.654174    0.777471    0.946166   0.782672  0.029987
-21.066667   0.621987    0.750056    0.889886   0.745762  0.035323
-20.600000   0.534362    0.663576    0.810057   0.674386  0.034331
-20.133333   0.499572    0.630648    0.765382   0.642569  0.032113
-19.666667   0.480448    0.581011    0.723771   0.608483  0.030738
-19.200000   0.469242    0.553636    0.659291   0.566381  0.024580
-18.733333   0.438388    0.540419    0.643575   0.541546  0.023687
-18.266667   0.412840    0.517264    0.650623   0.523123  0.028172
-17.800000   0.382966    0.500741    0.651870   0.490746  0.041141
-17.333333   0.230640    0.451867    0.609805   0.421424  0.056454
