#1.haloMass   #2.quartil1   #3.median   #4.quartil3   #5.mean  #6.sigma2
9.000000   0.614572    0.679697    0.726375   0.655814  0.013951
9.066667   0.578286    0.645244    0.697298   0.624787  0.013985
9.133333   0.550924    0.617646    0.665759   0.599207  0.012245
9.200000   0.521214    0.585225    0.629773   0.565744  0.011602
9.266667   0.488477    0.550832    0.604519   0.538246  0.011741
9.333333   0.448545    0.513667    0.572182   0.502364  0.011053
9.400000   0.418448    0.479656    0.539141   0.474029  0.009975
9.466667   0.367500    0.444283    0.505558   0.434563  0.011293
9.533333   0.323643    0.403447    0.478344   0.399502  0.012198
9.600000   0.280886    0.372048    0.451207   0.366287  0.014191
9.666667   0.241851    0.334773    0.430041   0.334994  0.015119
9.733333   0.194681    0.293547    0.401553   0.299441  0.016442
9.800000   0.175059    0.282470    0.385677   0.285314  0.017305
9.866667   0.145432    0.236915    0.352648   0.251970  0.016121
9.933333   0.133808    0.220104    0.326818   0.234150  0.014243
10.000000   0.131197    0.213578    0.308362   0.226656  0.013522
10.066667   0.116365    0.189972    0.281051   0.205542  0.011115
10.133333   0.101202    0.167186    0.254971   0.187192  0.011038
10.200000   0.093435    0.152870    0.229466   0.172571  0.010049
10.266667   0.086141    0.137371    0.228684   0.165867  0.009126
10.333333   0.087046    0.136592    0.220243   0.166302  0.009751
10.400000   0.089708    0.135125    0.211353   0.158197  0.007445
10.466667   0.085760    0.142281    0.229076   0.164848  0.008874
10.533333   0.090222    0.133752    0.192162   0.146281  0.005126
10.600000   0.078402    0.129361    0.171837   0.139288  0.005378
10.666667   0.087734    0.121245    0.178216   0.139871  0.004733
10.733333   0.086063    0.132412    0.178382   0.142411  0.004748
10.800000   0.078223    0.101626    0.154399   0.116536  0.002392
10.866667   0.076938    0.097693    0.132455   0.110253  0.002448
10.933333   0.071375    0.088865    0.119730   0.104537  0.002055
11.000000   0.064144    0.073406    0.089715   0.082556  0.000778
