#1.haloMass   #2.quartil1   #3.median   #4.quartil3   #5.mean  #6.sigma2
9.500000   0.187956    0.238899    0.289895   0.241633  0.007668
9.600000   0.155537    0.203325    0.259093   0.207172  0.006513
9.700000   0.118313    0.169578    0.221693   0.174119  0.005996
9.800000   0.093290    0.136411    0.183066   0.142032  0.004694
9.900000   0.065242    0.103663    0.147385   0.109152  0.003465
10.000000   0.042831    0.077157    0.113945   0.083279  0.002734
10.100000   0.027783    0.051985    0.084292   0.059916  0.001643
10.200000   0.015169    0.031979    0.056237   0.040793  0.001334
10.300000   0.006524    0.017558    0.039294   0.027081  0.000770
10.400000   0.003899    0.010338    0.024636   0.018855  0.000483
10.500000   0.002672    0.007138    0.018754   0.014808  0.000355
10.600000   0.002631    0.005899    0.012991   0.011702  0.000241
10.700000   0.001960    0.004171    0.011814   0.009648  0.000167
10.800000   0.001767    0.004614    0.011707   0.008228  0.000107
10.900000   0.002040    0.003520    0.008914   0.006151  0.000035
11.000000   0.001430    0.002923    0.005516   0.004861  0.000032
11.100000   0.001871    0.003655    0.006406   0.004715  0.000014
11.200000   0.001462    0.002422    0.004178   0.003146  0.000006
11.300000   0.001279    0.002981    0.003771   0.002804  0.000003
11.400000   0.001155    0.001180    0.001580   0.001430  0.000000
11.500000   0.000000    0.000000    0.000000   0.000000  0.000000
