#2.nodeMass    #3.spheroidStellarMass    #4.spheroidGasMass    #5.diskStellarMass      #6.diskGasMass
1258362430904.36    12573865245.2205    5.3842975716266e-17    23357111540.1686      6984314809.83719
1244906367366.27    26557325071.0114    2.05554582916168e-30    29689563455.2551      1.26501522824045e-20
1258420191396.49    40432332467.4132    1.0599114413689e-13    2603859678.84952      224706778.122884
1256624291568.64    14875504783.3306    8.85841239230499e-20    24265366796.0366      3458538.60615359
1258747497229.21    21823896037.5746    3.99767960941969e-16    14481657898.5287      2937918845.72477
1251189708232.39    18772887940.0495    1.6343493663321e-05    6146590116.36476      12463667095.0916
1261112737751.52    46244850493.5952    5.48914213807439e-18    27197821653.9858      29094.2688968633
1240841609716.63    25339282042.9638    3.87036005748545e-23    30356121464.1061      5.45676260266988
821406377074.093    15280722689.7456    1.75629608043494e-27    18910244354.6023      4089.61430429349
1253796494513.73    27916505971.1346    5.27010058961607e-19    34123482172.3736      0.00654442016705103
956108364947.463    27961327685.6189    1.04000082735186e-13    16340984934.1306      3017684320.62863
1201138310787.21    41464269600.3893    3.38915916137903e-12    14699436034.9729      2897630123.00969
842599382770.935    1224193504.66175    289.478562118503    3314183127.88996      14478976670.1425
1241049578896.18    23266139521.0324    2.01022909468396e-14    26433672682.6526      23636280.5643546
1217716174917.46    11964393926.8192    2.60580893496691e-12    22802740724.4874      568273093.68673
1233974765590.6    16623360104.1993    1.14422820838142e-17    25325134859.358      405424464.281528
1219876567179.1    16495051251.2648    2.34197131353425e-29    18474231345.6468      64.419582172196
1190720314331.08    13785230901.2157    9.19823550418492e-20    16139124059.5147      0.000988400265030584
1238905986163.44    13481728259.1111    6.35386823356403e-30    15095277283.7112      53249.9583503918
1234013570918.85    11387051710.762    1.62686646645788e-30    13078962484.0043      9473.41461719623
1234608390506.59    4504021699.92085    2.9863958804151e-24    7326451363.66665      1479139099.67165
1227923018510.78    11261221264.1334    9.28092650310027e-13    19320720772.8107      1880722756.54024
1195840698981.98    59411515200.6022    6.29262500764146e-15    13654693372.2355      1067207480.22802
1233093778768.72    22830749898.2643    4.82260408671348e-27    24431899209.7224      9.45074606035077e-11
1225932813408.73    13144517985.7392    2.7730495724118e-34    12716240063.1747      133.704087988102
1231695999666.87    10094557527.9863    6.56760760866077e-10    12010873335.4722      1708874045.87795
1231106436090.53    34345415482.4231    7.70275098334157e-18    15600927553.6612      3433.86394282926
1225512477859.18    38290405037.8023    195.390540561091    576413710.854091      340060339.350779
1216091349943    0    0    54454918.8589915      9928421190.79324
1224972401727.55    18462519230.247    5.27918341450459e-30    19257848584.5209      2.56465159100334e-12
1219519727755.32    21488394301.0742    3.92505239996543e-23    25590637299.069      3883601.93337817
1214638218814.92    17460704481.4363    6.78584643443611e-19    17130965679.7898      1524389.41441387
1218783887158.24    27211865351.1031    8.72732619415285e-17    18639789943.0488      787652925.652983
1219773548442.98    19599279549.1596    5.41423909908604e-27    23826436475.9167      86868056.474882
1205154904249.53    9298757055.11631    1.12371164203054e-11    10483822430.9429      6448480377.34044
1213213951616.82    12672391016.9045    2.28111137795158e-17    17958333263.198      100344.356426302
1223085191082.29    41382528478.1941    0.00100086296326252    6395917265.66499      3564380308.38862
1211934878417.28    26468642510.9994    673.002049036991    2012810106.29918      9576486734.17311
1201398482644.1    23639931431.7914    9.04035675791268e-15    9776524474.7587      21444392.516695
1212001132743.39    12808240190.1744    2.16642533947393e-07    16753315726.1999      343456175.286537
1187745197945.9    20029301210.4172    1.27673058848674e-18    18284774285.4039      355323716.118778
1218305055172.54    10440525836.9716    5.24752053464434e-15    13999106588.8776      1162.13357394436
1171818755690.81    13903387079.1702    1.44400019613545e-13    21128143169.3885      3362595.48106757
1200938054450.07    4170507412.64796    1.41671464544215e-27    7494278879.98747      4131692809.41185
1209267525551.07    25744248802.027    1.2226723239578e-18    29393435245.39      763980009.980576
1215239261060.85    14176149815.9941    4.57456415113065e-31    19626712760.6618      1080528.1820228
1204440974258.68    13993879366.7868    7.27456354340246e-25    18453768164.89      24592.3036574136
1208706964339.68    29678337090.0672    5.61758796539749e-22    25822305346.1857      1194355.86158744
1208869516555.06    4766682929.14944    10244999.1511246    9788695735.23731      9814644839.24176
1199224819461.82    15010205227.5395    1.0507921446071e-14    31583560942.1876      2879900708.29754
1203096751699.36    6176182618.65507    1.16664348061818e-22    5967978351.86052      2240738357.22432
1199543473356.43    33438647296.0554    8.94261468498454e-10    2619902196.1879      1147137287.12548
1195411941821.16    31048742453.2819    2.75483642850622e-16    2749535837.08921      10211439284.1738
1187361279101.99    28014920259.0789    4.56562647350751e-20    31699213810.0563      9.24022187245932
1173339358565.32    3952903998.38587    11618588.6527416    6759394913.13408      4698547602.94469
1182584248455.37    19189458585.4282    1.07408989305891e-26    25973819184.4538      781365257.494096
1129925771490.19    12050926249.4957    8.83717709168976e-12    16337113880.9897      320492812.853808
1190539704142.4    25038608924.8502    6.81830549638868e-14    35856561657.6395      1849143256.08658
1179978333229.26    35319161354.1367    1.81918587168384e-05    6446806622.77294      4271716274.65489
1194224805617.81    15587377857.2807    4.86877722596247e-32    18819736669.0869      1.72496000213666e-08
1202852270258.74    21475900221.3825    3.45113672473365e-13    12263423310.844      3914401794.8813
1195762070348.29    789269986.135996    5.69692893334444e-21    2742252755.59348      18716517900.7618
1185867823761.22    22045032562.958    1.46144379955129e-23    23257353108.4057      26280.8392240505
1188028953142.84    12639063209.454    1.87003922379005e-34    14578657958.2675      1498.61790064055
1181671189880.22    15932464339.1018    4.72454188603473e-20    17226572500.4866      17.7960914016939
1092274833648.58    13653695289.9385    8.30748864628524e-17    18785896204.9293      20094.8798011299
1164082137953.21    16895259809.7776    716552.969105457    27919710414.5958      1339439955.62653
1154856169982.66    24772690895.1339    3.20264048510909e-15    24028119751.1406      11180.096440874
1178179495369.46    13751613870.8838    7.25448679915835e-20    24324467947.8463      2093547380.35083
1161345792316.66    15701481976.4243    5.66450301970619e-16    24759532574.9888      2962677000.90784
1175991162926.52    20956871137.4975    5.50760905670255e-25    20627399989.3536      1.36636660373877e-11
1178215544698.23    14910853663.6772    3.89851413873085e-31    12107475801.4011      5853110032.18493
1176544581494.88    12459040725.9869    1.56202381188394e-26    14150183965.0779      0.0136366400560542
1178391479413.04    34096307154.0893    7.61213678214758e-13    32292113785.5478      491769142.341144
1153191415228.17    18492443950.997    5.70468025030206e-23    25996905979.3597      293212336.084002
1128385192769.77    15125347878.5309    5.38949214304707e-13    17446696297.6459      1175390470.34326
1157275627976.95    25342193349.0609    4.63251524471175e-25    25614193321.6287      3.04604161587402e-18
1178070892636.51    42463473422.7209    4.24575034525994e-12    2882957135.08419      1424661750.9174
1169950227194.29    12951964254.5987    2.57793258262935e-19    18992979780.8883      1325217674.73322
1153112072115.79    18048567526.3943    1.7711172479505e-39    20182430783.913      5.33932639173188e-23
1171865313479.16    8282668184.72374    3.1405831085209e-19    11720322412.9071      4182766443.26105
1169972979764.53    11008327213.6916    1.3813782614646e-33    13854245108.6251      35.0650530795145
1158630683100.8    14706249513.8575    1647036.53244542    21549570943.5491      1843339357.57404
1157665226369.88    26184531695.1614    2.85855610162763e-32    29677266312.9365      6.18028399427179e-32
1155729113225.96    19028852144.7156    2.42351449337824e-23    26951686228.7905      175465.169616834
1160510325906.46    21311950015.1268    1.04835012711049e-13    30100466819.0934      779439708.707321
1150606055982.36    9979080749.01491    5.31563908238127e-16    14968365966.2227      449425595.301947
1101529389944.86    8084481747.1449    1.90655715620927e-21    5888314134.39365      9376177.47211626
1156383980246.67    15574741978.7026    3.08493268308852e-37    16875598595.6963      740666.645865199
1155112430648.16    14776149383.2877    6.41207467444031e-18    19402710262.0466      1563012747.77099
1142854925160.15    11517957812.4092    4.94574051629425e-23    14832978400.4856      78239.9047234898
1146501287739.05    60268598469.2868    0.0219135108921197    1111237921.91178      759248610.650142
1149334003433.71    12403921521.9181    5.88081302964192e-13    19198787460.5373      1425552402.33086
1152978110112.44    9338257295.78652    7.80865162861184e-17    20123105125.3497      8470470059.1393
1065250131294.57    6732276217.83844    2.27087091027723e-22    6363281051.7802      4309629256.62316
1152824838032.73    20438396719.8601    1.43563029414502e-17    31169428076.5835      1150708664.94823
1153321575640.51    24661238049.2587    0.000527118515856923    32074871417.1561      1348542264.66134
1140282827844    7519440077.08008    1.65192161779803e-14    13631373730.5364      2089256010.57334
1145214727457.97    17438983297.0897    2.39911887626854e-18    19167769959.9362      411226045.50459
1141748491549.43    46600572517.9641    6.90656514955917e-15    411011452.796556      764425814.538061
1142800967929.77    47278793941.845    1.03085976766378e-17    13968325195.7692      134031653.37495
1140139151180.24    12302148865.8371    6.65831188760369e-38    12944140706.4399      0.000358725965243378
1132740290095.22    26979787429.1124    1.75433297881387e-14    35302799906.7941      15762.2019149937
1149320947376.61    28289607522.0177    1.50185165765101e-13    35925332041.3868      4.97221338556522e-07
1162872017922    0    0    20140334.1492055      6402608699.11432
1129215186009.74    31883775220.7671    4.2835046532541e-26    20093203790.1279      38186678.7667801
774310019093.441    15423825719.8245    1.29352724875032e-30    18032562356.4771      4.88130611839416e-16
1142663633162.04    17902008161.9434    2.35811167507535e-20    21752068328.5203      377257.67419651
1139973180462.92    6546029654.05296    7.65209771961781e-31    12792372789.3642      3017902444.8484
1130543745706.07    10261323711.0167    3.34893214041334e-17    11219255811.8883      749398056.057689
1127582389114.18    14211641154.1185    1.1360750608949e-24    19157530874.2094      1133024.09121989
1135685463015.5    9462825344.25403    3.90382082108244e-27    11254192236.7733      3580402657.2558
1120396413278.69    14257151599.0111    170.54944746416    548062584.83055      3098317565.70373
1135971941952.14    26493207344.0112    7.34141281174445e-26    29991259159.0032      1.45829859464312e-07
1126127152486.94    13960027965.3359    8.40515122466364e-33    15773439102.8083      184438057.280571
1120722991728.55    15235318302.1668    2.11844988727174e-17    20337568678.3295      30.5093779217057
1129358049153.75    43490547571.8669    78038.0645271574    433780826.846705      895365553.650083
1121966251634    8390810641.70457    8.74506561959599e-15    12692030411.5488      164693.575054256
1108224890455.3    20167532815.1678    1.17027030136096e-25    26107650299.7313      8.58292580453291e-06
1119161633575.55    21519243928.1483    161311995.892578    10843686.981895      1526853180.58365
1120241695380.8    52076474330.703    2.07396254042312e-09    640105092.079209      1536349559.3291
1102796984953.93    23568971045.5551    4.70065268548319e-16    26353814898.4925      965595522.557798
1112739277383.07    21848975748.9578    1.62069961006676e-34    23931204259.3847      1.48002885536577e-15
1090918486655.72    15244586385.0704    1.68489985129959e-17    21647705238.5005      1984.99033764544
1108107251122.06    20240224110.8055    3.09858200094973e-13    30166920620.473      21259646.5136237
1113608927868.7    18515456189.3691    2.64836313337312e-39    18504672800.3377      -6.11874850560355e-31
1067230088807.71    14970191932.4183    4.68384413553702e-18    19402006365.7396      151.387459725229
1107649097296.15    18852836763.4265    6.05512572852331e-18    19105400255.8492      0.00352489179948696
1112802132853.4    24945920522.8404    3.51089694580894e-19    34532681200.2495      129136349.21197
1110634680310.86    27935179035.0229    815.344529756301    36240369537.1583      51345918.8373793
1113359301178.19    13573812421.0292    4.84557962112493e-17    17381631380.1888      2240626291.78382
1103390803882.36    9440208273.91664    3.42254886143778e-13    19186176513.5492      1332583023.45019
1101118560799.51    6494785802.04012    2.60104269720053e-14    10807240218.9948      4325619933.78121
1111054846338.27    0    0    590400156.392366      20885484921.1596
1103333153673.39    13068550915.5837    7.30567327053599e-14    17944201060.1395      5476942.96292733
1113635517223.04    10906439330.4484    3.1833454467702e-23    13851634478.8835      3487842564.54628
1105108488339.47    17432249594.5282    1209291.94100384    26270827985.9754      1924561311.37754
1111817213264.57    20443997423.4742    3.39805738107944e-16    25497807672.7753      4466343282.06142
1090891112043.66    0    0    412979154.532078      17517075143.3564
1082637931142.91    14892983259.6093    9.76619509524609e-42    16329113344.6883      477997317.070954
1095470707838.05    10024716552.9316    3.02268111919015e-19    11458013127.8537      147527451.332886
1097978403951.05    16992644462.9852    2.60710017245104e-18    27938029708.6913      429369207.02347
1056955945988.24    58771043709.1233    1.45932650121288e-16    282831038.051715      568230763.94537
1102529763429.62    23327138392.643    6.3803506990609e-15    33629023045.1318      163657761.071343
1092053843857.49    33300217676.4802    3.28142365619053e-18    20169941806.6069      1594533783.50674
1091983220916.44    22102406806.9316    4.71872753142538e-08    35968392236.7478      1444707543.71806
1085798485673.66    8937327840.58117    9.1794636887582e-08    17603898716.2598      1813241740.39753
1090419939431.99    88784879623.4646    42087845.0639741    334016894.873079      316310481.237992
1099805041617.48    11884788609.684    4.33274288436798e-26    22429480718.238      1549813473.03757
1069157636749.79    12713850647.5864    7.54542623553461e-20    14755268365.7257      100199.440916689
1080491115081.32    44534108546.8258    1.51415646861834e-13    11061816765.1364      1331946860.75365
1084567814212.85    7206368901.87022    4.43195477680342e-13    12795716692.7498      465462688.918342
1076241717954.09    32856419216.686    1.16254829979239e-13    5379260286.38279      2977131633.04744
1091443707150.28    7476846593.30628    4.26481340360114e-19    12465480832.6853      9717484665.41506
1077117731629.38    21885231517.5547    1.08221098893526e-32    22721698650.9976      4.37161529815889e-32
1075179485532.2    5803810807.59175    8.9028881008183e-20    11581789981.0841      8012736979.98986
1079707771347.51    11778318865.4605    9.16898610758316e-18    5857896967.04366      636253927.770131
1078588387480.51    24730067186.6409    99986.9603686152    35686158355.5208      1169607940.51464
1004439532648.08    21969962819.9031    2.84441141313486e-09    26496789415.1577      0.00017327612480107
1073870578042.92    8797465785.37639    4.62837346283366e-22    14014225900.9811      5282620827.3701
1072724279903.11    31164151072.5976    2.3089898439847e-12    3951535347.60232      2859095493.89248
1074970653837.18    19976723722.5595    6.23226365651098e-15    29501474763.8503      150202578.249916
1073395617831.23    2204611700.18807    1.96849935949728e-32    2740663167.36358      7462984311.46669
1066759266585.25    16567239582.4562    1.19202353681467e-15    22444625999.4573      0.161913253931572
1079737311122.98    17332551413.4198    1.94271926777368e-15    20752244036.0897      1.63465601757149e-19
1074199569719.87    11995890616.3868    1.2007793009936e-12    19114969512.0924      139827712.514495
1074713811399.64    19979541843.4505    5.5841718670686e-15    26458921468.4847      513.198255147605
1070765265411.5    13830196644.7176    4.17181434442183e-32    20864296434.1176      736845898.687845
1069919379432.24    12943784361.687    1.30621940748892e-39    14494909580.8653      0.193230359917532
1067158110475.63    9330609859.91477    9.50250967184242e-22    21560471452.0949      9550854951.89659
1066088424242.47    27052124229.4193    356416.692054636    184483897.511362      3418337885.36565
1060330280261.09    15236768990.5519    2.87888999657373e-21    22933381271.0794      698835676.30243
1042070442299.32    20068529636.9963    6.8667312990855e-21    26863207951.6949      560650959.110769
1067203773948.82    3625077251.00011    3.2080860185945e-30    6050678615.91813      4608967568.15306
1067678377273.13    11978930480.4052    3.37071861560508e-42    13361244168.3968      0.0430362264338146
1070390287730.85    10040794633.9266    2.90497828987641e-21    11850531979.5928      -4.98539485144912e-32
1062331629230.12    4783299628.94816    8.90428781834076e-24    8460986827.7649      6837113723.25162
1065940670072.86    9061244247.21865    1.2260811135814e-17    16573718112.1064      4898423318.9638
1067904198143.53    16343326450.9303    371319.407371695    22168833239.1306      1122655401.27119
1052405427366.94    25683927260.4371    4.20590706170203e-19    22154567463.2624      417382333.840289
1041792108451.14    15659240644.0938    1.5466549526241e-12    18252970563.6256      1398724700.81209
1016816973567.74    33967499686.5586    1.91696118838329e-16    17103654893.7492      2053047679.063
1051290039122.98    20581300207.8123    1.11792104569811e-15    29971355700.0197      627025323.882405
1050580256273.55    11601186410.0144    7.99201867213645e-14    12840015498.5415      4702730496.83176
1048395585276.02    10814899170.0185    -1.17026788951744e-35    11555791144.0334      -1.58272181071218e-30
1053763185062.8    29839253943.1383    2.62234352685963e-13    30215647593.2074      235323.437928628
1048070856690.56    18824934099.9469    2.3523113174001e-26    15968492686.9104      6.18908800534772e-06
1008682566617.6    23053258808.2207    8.80455382499919e-15    27896961293.1421      4.69604689419578e-06
1045049100529.21    18727438433.7354    3472773.93013541    24800650233.424      2500099984.14164
1032298175343.55    16921036648.3125    1.62990015376443e-31    19169206843.6945      1.47495623878866e-13
1044308784540.01    13907104499.5471    1.51916759967267e-22    14538593723.3804      0.522571330755098
1049508293368.2    34095590825.9504    2.6108192763994e-14    8877828616.81218      1865320311.91
1048667497221.19    15075963164.018    5.1335949106092e-31    19930582690.2392      143897559.096071
1038280063152.83    10791189759.5078    5.92248801372032e-11    17637331681.9097      462405267.873154
1009182938112.57    3649658579.89706    5.75802960974117e-33    4640258959.3501      2068167017.83816
1041340593753.13    16843817935.5567    1.30868542168061e-21    20327134337.7341      67527103.1680736
1032324516671.73    16592837709.3095    9.3055878804001e-15    21167283884.7351      27597.3029060023
1037738032234.04    10339444089.0404    7.4886186482801e-20    13442086700.6659      192121587.393639
1040023082979.3    15421305944.5569    1.65228295382493e-22    18515471933.3778      53.6827246782377
1044368607651.2    21943563729.3118    5.5178952313852e-20    25628692501.8438      7099.45165586961
936425777397.215    10099606739.6348    1.09464041948137e-26    13705389015.4504      94158965.6981351
1041335004666.14    13694225409.8843    2.63026739626987e-27    17152406013.0135      0.00106871168394215
913359222132.228    27690943487.2289    5.09887124905522e-18    4844758419.23022      788488061.674977
1026972593102.35    20206069096.7015    6.63924467072374e-31    10464955235.0788      109392131.998079
1019427512953.92    10851168925.8837    4.58802520669334e-22    15044988297.3196      49249.1427732212
1033585954328.34    8527605478.93973    3.48446980608925e-06    2106351404.03552      7871066910.35909
1025025737818.76    13371498441.1915    3.45216142073555e-14    18281340845.5693      77150.2765775209
1029056915447.28    5752707603.48081    8.07022359628938e-09    10599944288.5962      2465740502.10136
1032319218269.18    15557780335.5247    8.24693587237932e-22    20142757905.4727      263.333385024921
1031955096959.27    22206404656.2144    294888.280357304    32734867698.9249      1057644505.57427
1024470713892.73    22865569108.4393    2.29826953748668e-20    29345198962.8879      1416292827.51581
1018019035029.58    17944296355.0159    8.31349677415178e-14    25551385835.6102      275643576.273567
1022325116629.28    22708853149.1663    2.37588662137591e-18    24282563466.1243      907420932.024746
1007598646427.95    7566974231.355    -5.73498665295121e-32    11185872103.43      2370832302.08067
990653692114.354    11360057610.5116    1.05774533080448e-27    19114315948.401      15165243.3502853
1024614512579.82    14628391006.2599    5.33940854783163e-20    18794189397.8234      186102.578413859
1015761428683.21    15988011875.9922    6.49399390519744e-36    17280690274.4985      104804372.845528
1023038111118.22    11267356384.2733    748807.124553044    17313185979.251      1802044977.83345
1022199822544.63    8422004377.62053    2.67140914500499e-18    16520655892.5805      3185145030.84219
1025556704689.34    11650384220.3342    6.2353921646611e-07    1714291025.03009      4002980012.38149
1000210704931.18    14583836611.4467    1.58805798365226e-18    19615867218.9025      15623.5737996251
1013520844761.78    16214748986.8224    1.13910599018065e-15    25547613785.6018      1593228520.64612
1017024947349.46    16838856634.2247    8.82928887178293e-14    21456294690.284      13938025.9885317
1013599621916.63    17631853465.3478    6.58010091849689    2095864048.33578      5874358470.26108
1015826996631.27    22732902259.5576    79916.8018739953    46362839.3820195      1340559511.26057
1014165099926.56    18173206801.6126    6.05339661177124e-18    22685903780.4379      12188258.5555966
987148089667.096    11644262282.6603    711218.853007875    18160027832.0931      1530559505.26458
1010905201850.07    38142814597.2064    5.76089360828252e-13    330532099.390221      421022694.634292
1006725575668.03    19290745320.9104    1645.29190098149    410902481.446078      3748854773.84026
1012617007949.1    13128423832.418    4.56927910598294e-14    17948314525.1227      2308215.2692729
