#2.diskStellarLuminosity:SDSS_g:observed:z0.1000    #4.diskStellarLuminosity:SDSS_r:observed:z0.1000   #6.spheroidStellarLuminosity:SDSS_g:observed:z0.1000    #8.spheroidStellarLuminosity:SDSS_r:observed:z0.1000
30865756.1946401    38090579.443949   8609089.23659448    17275589.7170603
217772682.468812    319451840.389929   48934719.0391458    113253157.656962
12433966.8353309    13386439.9990863   17993397.4123901    36166207.4052476
64168448.0167567    82813664.8810187   10621457.0327857    21923480.0844291
36039324.5461719    47165714.8611352   8931765.0366242    18241332.3771251
17707799.5284496    22788183.7395442   11956948.8527259    24531544.1973094
39236178.0897225    66129431.8012152   8599956.72826147    17852679.6528104
23418648.3220345    33026928.0658264   2449498.57138802    4778648.48725925
11061674.969872    17782402.1799519   1609914.55743032    3259129.01119627
217079917.927516    312698666.585684   40916327.0767264    94669736.4555329
2546834.8067579    2132206.0381334   33997392.4081633    59638771.4673182
76889462.9827518    95345893.4221555   18123160.2514567    37713614.0693547
12802472.5814937    16645236.9431828   272489.165427389    450480.116155878
28051717.0695221    50320189.1699058   7541948.3689474    16408497.3807749
14287603.6188737    18720347.2643302   1290340.25841208    2392001.91345358
27552834.2014762    38010148.5089372   10681023.4471465    21901807.5641439
14281357.1586212    23290089.6555628   2378277.46505217    4896756.07995778
35187199.7197032    45299444.454858   4446427.62011102    8985464.21871455
98877681.2108611    144284936.676349   18183543.8743624    34942445.0777712
21415723.8491918    32551482.2822634   3503419.28495115    6975826.25249619
4075997.08731397    6450524.23011395   493198.127329118    886158.946293579
21151374.25213    30529833.3419234   2620456.54160805    5184878.80652211
75268306.5012097    106810155.671066   9041586.6009676    18908748.7634601
164159953.731156    228016732.527866   32146389.7912031    63367259.8568116
47650137.7709804    119309845.764028   31254740.7459797    77822785.6776375
10443450.5575176    15109841.8538881   608520.787710076    1160987.67779768
220840858.166537    301765426.361028   45222268.8169674    94775608.6730874
69198.7580529649    56028.9365606498   29892690.1667312    48472285.3282505
0    0   0    0
359431751.924115    432184677.992515   69763660.8679563    133583052.748923
30586209.5780932    50713243.3227038   5830530.92942475    12506838.0814925
29431972.1036814    40649218.304183   3648327.83160421    7145540.44295671
77110209.0143909    103718823.250058   12493145.6724903    23683583.8662511
168034681.316818    267857940.305613   42842302.750314    101904592.85497
5556480.99512487    6953353.63764755   1102745.59712513    1958822.91486078
35980633.5717074    48954087.8705174   3645566.7569195    7386750.05425392
12676781.1000376    17172176.1197984   835300.037615527    1609418.72469765
6422460.33519471    5973001.41517597   19629052.8967209    36532947.3367753
31726502.7659543    42310110.2203761   11180941.9925672    22999771.5790881
9269541.30929066    13024832.9565135   841877.572218785    1529081.62689557
43478011.0410272    59525414.4783835   6598121.13911924    13671460.7495757
35305818.4177802    55965324.3346506   4867828.96744755    10567553.6919592
65353155.6272992    95203663.2887177   7212187.40026399    15718645.4246382
19814066.4263382    28807461.719092   1586967.58670168    3419481.1121124
94553751.4814707    160223166.735757   22800264.8499613    54886818.9605698
103355016.778584    194277302.157134   35398783.9443336    86852393.7376982
8520070.13576398    12305089.7723455   1411350.69615059    2605369.23419432
17652030.2232035    25118144.7653981   15249349.0239039    32466630.6012894
10920524.4767176    14863779.8639305   587828.368073803    1139293.99958406
51177249.7071801    79079544.6698901   5346476.38872788    11443017.6269389
806199.547171685    824573.866377217   4925653.3420214    8873714.69311929
33006483.8580304    46463935.0446937   5670930.45771091    12051987.0500582
13522871.9674813    17656855.0239452   9338204.15142198    19679173.6692619
38698331.7058042    67225570.1664029   9072045.39099696    19399128.3304297
5126918.64630711    7436091.54706367   284605.856517577    530436.846376
84694851.5335122    142100590.577552   15898041.2053766    37983607.5989834
122121057.497804    171930022.391802   32878797.618333    56513145.4746516
146171830.921174    213003960.515872   27056717.0773264    53170352.0219227
31471944.1837191    35898294.5866619   21276330.700577    42899762.9672358
271276871.986739    391511296.646927   50793452.8685712    121931773.774331
3815187.1189448    3505465.82086047   16423507.518155    29216267.0894029
22443673.4640943    24853309.5275209   19320.3488816592    33405.433084563
70179640.4768828    93329050.872551   13765451.3495898    24722026.9155474
76784935.6125579    106513041.154732   7057199.17800362    14891341.1261186
198555568.930527    282402745.206316   36671026.8997756    82026871.2821134
8492663.13861315    12537295.3315213   1235483.30534585    2414092.56461544
32881038.2225245    45597724.3958642   3854544.65034748    7653005.88800557
25099941.2672127    34716814.056908   4165914.40395529    8349029.40991755
13835351.4831518    17859604.4617878   7008899.60201412    14216275.1758392
71524210.3655518    126111462.47118   14297569.3660918    32707688.8059653
69963052.1351511    96765657.406866   16071749.0199918    33918626.967963
14506418.5761961    17184618.1345292   1324797.95784874    2749858.06020853
11220462.8036314    16017151.35527   1109481.54326341    2106376.99863505
29217086.2567018    35508137.6085057   4961993.0284238    9431729.15930657
10176521.9614111    14809972.6232935   1079213.68796496    2132511.28239686
7674044.49495645    10749775.2893812   1343610.62001765    2454168.68287839
13766068.9421899    19461135.514081   2147242.52585469    4173033.29876957
6449413.277925    6512120.62060958   10632916.9244103    20516650.7795633
6978279.77383979    10070959.9046618   972445.555185977    1917048.61898469
75265762.0332667    156783166.759744   36914309.6257347    92467012.0778115
3028596.27206466    4379199.21386838   793553.082026313    1412525.02929327
20755804.609164    29103072.2747339   1971953.62098408    3962287.65038211
26321117.2506092    37635672.5963167   2795861.35584256    5785565.999724
38352934.8506226    101732556.007436   32147943.6907587    83273133.9628821
6850726.44716343    10767684.2242433   666613.970798678    1263976.76473632
21444910.7088111    27667516.3147007   2856010.27964815    5388140.71973013
16098106.183434    24131359.3715551   2588069.06639349    5354100.15219229
12572294.0639853    16542517.5999592   2953148.53961923    5720550.81250507
24958157.510852    39112308.8166946   3538175.69660479    7422856.18603668
11118951.9476844    12975597.9017611   6968895.20757332    13597174.8579802
37430927.0108008    50812128.9847974   4387822.08244403    9092482.11205038
19252245.8184219    24425591.4960095   986727.069324247    1923814.21490409
24699781.3987566    33160946.2342041   3451230.54944633    6835281.73602745
26618693.1475603    35440759.5584073   2225879.65625738    4627765.11808401
3510089.1535932    5132956.95667634   755820.536538679    1356253.46405626
56622929.1633607    94062988.3546702   9461336.07379086    20669110.9773323
40050911.2377563    48767894.2107347   11898579.1506263    24495796.7810356
10626777.3321941    15245573.1362369   1855572.14303887    3627525.85292095
6631926.5090895    9677245.00449767   1768328.15434047    3336204.05833594
14302926.5994073    24452097.9818241   5444996.9966334    11082832.5712197
