#1.mag_i   #2.quartil1   #3.median   #4.quartil3    #5.mean    #6.sigma2
-23.000000   0.000000    0.000000    0.000000   0.000000  0.000000
-22.666667   0.000000    0.000000    0.000000   0.000000  0.000000
-22.333333   0.000000    0.000000    0.000000   0.000000  0.000000
-22.000000   0.000000    0.000000    0.000000   0.000000  0.000000
-21.666667   0.000000    0.000000    0.000000   0.000000  0.000000
-21.333333   0.000000    0.000000    0.000000   0.000000  0.000000
-21.000000   127.152997    127.152997    127.152997   127.152997  -nan
-20.666667   111.808125    112.222729    119.247722   116.629655  69.913344
-20.333333   116.126660    117.873571    120.389726   118.386400  18.370976
-20.000000   102.568497    105.377008    106.947748   104.889726  27.721801
-19.666667   93.732475    95.673261    99.188225   96.281086  22.959074
-19.333333   85.190993    89.919755    92.833369   89.808731  35.282267
-19.000000   78.896678    81.842237    85.457051   82.836828  34.749586
-18.666667   73.893689    77.250244    84.376712   79.647940  58.312864
-18.333333   68.621758    73.237606    79.744429   74.929162  57.512982
-18.000000   65.923021    69.382258    77.019964   71.404382  54.131574
