#1.haloMass   #2.quartil1   #3.median   #4.quartil3   #5.quartil4
1.100000e+01   -2.771185    -2.510091    -2.272326   -1.310531
1.104000e+01   -2.745666    -2.475650    -2.218812   -0.932183
1.108000e+01   -2.726492    -2.469195    -2.180960   -0.879687
1.112000e+01   -2.695228    -2.418415    -2.115550   -1.094531
1.116000e+01   -2.632415    -2.369401    -2.083502   -0.993559
1.120000e+01   -2.638121    -2.359975    -2.050354   -1.003687
1.124000e+01   -2.616567    -2.307245    -1.973322   -0.879728
1.128000e+01   -2.543555    -2.241840    -1.893041   -0.878880
1.132000e+01   -2.504824    -2.206798    -1.862778   -0.887175
1.136000e+01   -2.472300    -2.170314    -1.808949   -0.905586
1.140000e+01   -2.463960    -2.142783    -1.840010   -0.946097
1.144000e+01   -2.409282    -2.096664    -1.761350   -0.957286
1.148000e+01   -2.426266    -2.114087    -1.810230   -0.945847
1.152000e+01   -2.415799    -2.111185    -1.790622   -0.928853
1.156000e+01   -2.321558    -2.043923    -1.752392   -0.995946
1.160000e+01   -2.285211    -2.048696    -1.714895   -0.876504
1.164000e+01   -2.326252    -2.015138    -1.739897   -0.899505
1.168000e+01   -2.220513    -1.956237    -1.642031   -1.015038
1.172000e+01   -2.203840    -1.947868    -1.567152   -1.015940
1.176000e+01   -2.156085    -1.876245    -1.474155   -1.046414
1.180000e+01   -2.133280    -1.871705    -1.437133   -0.907745
1.184000e+01   -2.149475    -1.831766    -1.392666   -0.943917
1.188000e+01   -2.101517    -1.801152    -1.358544   -1.054560
1.192000e+01   -2.020212    -1.726962    -1.338634   -1.089297
1.196000e+01   -2.011673    -1.708527    -1.316203   -1.059043
1.200000e+01   -1.964690    -1.688964    -1.361055   -1.108576
1.204000e+01   -1.878918    -1.507456    -1.303691   -1.124363
1.208000e+01   -1.862246    -1.540853    -1.320531   -1.154868
1.212000e+01   -1.794146    -1.483805    -1.303459   -1.065623
1.216000e+01   -1.630966    -1.417845    -1.298078   -1.161208
1.220000e+01   -1.699135    -1.466186    -1.327174   -1.158050
1.224000e+01   -1.683456    -1.434500    -1.324763   -1.153989
1.228000e+01   -1.736282    -1.498088    -1.360254   -1.177099
1.232000e+01   -1.614396    -1.441038    -1.347691   -1.187468
1.236000e+01   -1.605484    -1.452867    -1.367873   -1.202999
1.240000e+01   -1.542436    -1.411666    -1.341832   -0.992967
1.244000e+01   -1.570565    -1.450510    -1.367405   -1.223868
1.248000e+01   -1.584191    -1.484018    -1.398220   -1.141952
1.252000e+01   -1.622240    -1.502435    -1.399546   -1.285325
1.256000e+01   -1.617046    -1.515385    -1.430363   -1.285697
1.260000e+01   -1.601415    -1.519801    -1.446017   -1.325279
1.264000e+01   -1.679745    -1.554006    -1.463338   -1.348663
1.268000e+01   -1.651968    -1.574450    -1.491495   -1.317258
1.272000e+01   -1.659102    -1.586312    -1.498929   -1.384451
1.276000e+01   -1.703848    -1.602700    -1.544536   -1.371455
1.280000e+01   -1.710128    -1.628272    -1.529131   -1.400712
1.284000e+01   -1.740260    -1.645778    -1.554833   -1.454006
1.288000e+01   -1.771313    -1.681825    -1.599434   -1.430554
