#1.haloMass   #2.quartil1   #3.median   #4.quartil3   #5.quartil4
1.100000e+01   -1.840157    -1.652667    -1.495147   -0.980507
1.104000e+01   -1.839641    -1.624960    -1.461577   -0.918366
1.108000e+01   -1.814786    -1.613029    -1.431382   -0.951579
1.112000e+01   -1.757837    -1.572364    -1.400749   -0.970576
1.116000e+01   -1.733748    -1.545218    -1.373300   -0.927244
1.120000e+01   -1.697812    -1.536976    -1.358980   -0.929426
1.124000e+01   -1.700227    -1.518427    -1.290521   -0.891108
1.128000e+01   -1.667341    -1.474200    -1.267901   -0.908551
1.132000e+01   -1.625639    -1.450920    -1.269271   -0.967931
1.136000e+01   -1.626238    -1.447020    -1.251345   -0.916966
1.140000e+01   -1.623042    -1.423669    -1.260371   -1.004705
1.144000e+01   -1.616249    -1.397432    -1.229980   -0.963994
1.148000e+01   -1.647411    -1.473566    -1.262968   -1.002869
1.152000e+01   -1.664827    -1.466466    -1.270700   -1.011601
1.156000e+01   -1.684249    -1.453246    -1.259649   -1.060205
1.160000e+01   -1.687137    -1.524451    -1.316340   -1.074316
1.164000e+01   -1.696257    -1.517057    -1.340461   -1.064062
1.168000e+01   -1.661200    -1.481920    -1.326874   -1.075597
1.172000e+01   -1.725377    -1.503903    -1.356883   -1.099108
1.176000e+01   -1.656064    -1.461956    -1.345467   -1.145812
1.180000e+01   -1.719754    -1.540593    -1.373730   -0.975275
1.184000e+01   -1.729803    -1.534443    -1.402095   -1.134766
1.188000e+01   -1.757305    -1.557941    -1.407281   -1.070944
1.192000e+01   -1.681612    -1.509294    -1.391004   -1.162284
1.196000e+01   -1.763037    -1.586953    -1.451034   -1.209320
1.200000e+01   -1.696193    -1.570625    -1.466197   -1.201940
1.204000e+01   -1.658375    -1.535381    -1.413223   -1.221510
1.208000e+01   -1.673798    -1.508068    -1.395214   -1.187650
1.212000e+01   -1.715208    -1.503764    -1.404636   -1.221408
1.216000e+01   -1.677510    -1.539329    -1.399157   -1.170803
1.220000e+01   -1.707304    -1.563023    -1.489633   -1.339516
1.224000e+01   -1.624890    -1.537830    -1.453749   -1.307393
1.228000e+01   -1.679489    -1.545982    -1.452930   -1.296068
1.232000e+01   -1.693681    -1.597096    -1.429490   -1.308256
1.236000e+01   -1.729952    -1.597995    -1.457581   -1.263120
1.240000e+01   -1.632594    -1.538125    -1.455896   -1.290845
1.244000e+01   -1.609622    -1.544649    -1.472476   -1.368777
1.248000e+01   -1.645500    -1.563114    -1.447375   -1.281221
1.252000e+01   -1.625188    -1.535303    -1.471829   -1.421944
1.256000e+01   -1.748175    -1.586845    -1.532820   -1.338799
1.260000e+01   -1.641038    -1.575869    -1.519007   -1.388567
1.264000e+01   -1.734222    -1.586618    -1.488265   -1.357730
1.268000e+01   -1.631516    -1.584874    -1.541657   -1.410752
1.272000e+01   -1.684815    -1.620226    -1.544326   -1.443531
1.276000e+01   -1.761190    -1.654697    -1.552941   -1.449629
1.280000e+01   -1.711651    -1.630402    -1.560772   -1.428533
1.284000e+01   -1.705917    -1.633680    -1.568361   -1.463392
1.288000e+01   -1.795370    -1.672492    -1.629021   -1.508876
