#1.mag_r   #2.quartil1   #3.median   #4.quartil3    #5.mean    #6.sigma2
-22.000000   0.519025    0.675104    0.928125   0.705903  0.047531
-21.533333   0.498029    0.630728    0.853446   0.675615  0.044687
-21.066667   0.467927    0.562830    0.711054   0.609756  0.034594
-20.600000   0.458076    0.527047    0.638780   0.567054  0.024611
-20.133333   0.443548    0.499792    0.563157   0.524052  0.018922
-19.666667   0.429729    0.492543    0.547432   0.494040  0.017574
-19.200000   0.374944    0.453673    0.531807   0.453030  0.017601
-18.733333   0.346387    0.394620    0.469359   0.405608  0.019199
-18.266667   0.336072    0.373215    0.423611   0.381825  0.018445
-17.800000   0.289363    0.368485    0.428176   0.357941  0.030376
-17.333333   0.240788    0.365135    0.456462   0.351269  0.041053
