#1.haloMass   #2.quartil1   #3.median   #4.quartil3   #5.quartil4
1.100000e+01   -1.880970    -1.656477    -1.497067   -0.937222
1.104000e+01   -1.832779    -1.626526    -1.473636   -0.861922
1.108000e+01   -1.825035    -1.617387    -1.448974   -0.894802
1.112000e+01   -1.789919    -1.583326    -1.402320   -0.836189
1.116000e+01   -1.722007    -1.551664    -1.381971   -0.887588
1.120000e+01   -1.731039    -1.540134    -1.366197   -0.823829
1.124000e+01   -1.705030    -1.500523    -1.323968   -0.885373
1.128000e+01   -1.673135    -1.476501    -1.289739   -0.883426
1.132000e+01   -1.644941    -1.456961    -1.276439   -0.839624
1.136000e+01   -1.640549    -1.433754    -1.250513   -0.920078
1.140000e+01   -1.633707    -1.427668    -1.253733   -0.914866
1.144000e+01   -1.601027    -1.379022    -1.212612   -0.951242
1.148000e+01   -1.654867    -1.417348    -1.225283   -0.978143
1.152000e+01   -1.649821    -1.437330    -1.234457   -0.975013
1.156000e+01   -1.642955    -1.413578    -1.238370   -0.906949
1.160000e+01   -1.652901    -1.457496    -1.259268   -0.928823
1.164000e+01   -1.663516    -1.475103    -1.301396   -0.978798
1.168000e+01   -1.624590    -1.461373    -1.292035   -0.967281
1.172000e+01   -1.678969    -1.469130    -1.291714   -1.018753
1.176000e+01   -1.637622    -1.427737    -1.299486   -1.065210
1.180000e+01   -1.631271    -1.464098    -1.323822   -0.918422
1.184000e+01   -1.642988    -1.471408    -1.327056   -1.083271
1.188000e+01   -1.679723    -1.468196    -1.338892   -1.031633
1.192000e+01   -1.627296    -1.464980    -1.338465   -1.122975
1.196000e+01   -1.653731    -1.462976    -1.345268   -1.010517
1.200000e+01   -1.625872    -1.492632    -1.380537   -1.003445
1.204000e+01   -1.563262    -1.444433    -1.333289   -1.128615
1.208000e+01   -1.652402    -1.477385    -1.374963   -1.178473
1.212000e+01   -1.629126    -1.479790    -1.383630   -1.200903
1.216000e+01   -1.565593    -1.436816    -1.356632   -1.159926
1.220000e+01   -1.578248    -1.471641    -1.387101   -1.169410
1.224000e+01   -1.579692    -1.477158    -1.384539   -1.233941
1.228000e+01   -1.630946    -1.501005    -1.402448   -1.207204
1.232000e+01   -1.594371    -1.465755    -1.376623   -1.234923
1.236000e+01   -1.624198    -1.515720    -1.449350   -1.100554
1.240000e+01   -1.593808    -1.481038    -1.407778   -1.188594
1.244000e+01   -1.563598    -1.497990    -1.432166   -1.264997
1.248000e+01   -1.598736    -1.529580    -1.460057   -1.136717
1.252000e+01   -1.611785    -1.519438    -1.441144   -1.309988
1.256000e+01   -1.650936    -1.538766    -1.460426   -1.318215
1.260000e+01   -1.620841    -1.511917    -1.459075   -1.336284
1.264000e+01   -1.690342    -1.573708    -1.487579   -1.343249
1.268000e+01   -1.680521    -1.588710    -1.516800   -1.344621
1.272000e+01   -1.683764    -1.594423    -1.524656   -1.396126
1.276000e+01   -1.698720    -1.617801    -1.540923   -1.333628
1.280000e+01   -1.735966    -1.602577    -1.537898   -1.434083
1.284000e+01   -1.716061    -1.617786    -1.565731   -1.425506
1.288000e+01   -1.773988    -1.691659    -1.603203   -1.472049
