#1.mag_i   #2.quartil1   #3.median   #4.quartil3    #5.mean    #6.sigma2
-23.000000   0.000000    0.000000    0.000000   0.000000  0.000000
-22.666667   0.000000    0.000000    0.000000   0.000000  0.000000
-22.333333   0.000000    0.000000    0.000000   0.000000  0.000000
-22.000000   0.000000    0.000000    0.000000   0.000000  0.000000
-21.666667   0.000000    0.000000    0.000000   0.000000  0.000000
-21.333333   119.673519    119.673519    119.673519   119.673519  -nan
-21.000000   114.050127    119.242828    128.826107   120.648077  133.811302
-20.666667   117.842242    121.021055    122.049946   119.875649  9.580544
-20.333333   104.629762    111.311256    113.606760   109.740868  58.843695
-20.000000   95.054819    99.055062    101.940990   99.266434  42.986413
-19.666667   85.289289    88.062536    91.879210   88.860298  36.325474
-19.333333   78.403758    81.214728    84.107640   81.707617  23.428734
-19.000000   71.396800    73.985741    76.361806   74.269718  18.762273
-18.666667   64.960420    67.103065    69.103344   67.712119  18.473035
-18.333333   60.134230    61.937401    64.061369   63.263030  30.139007
-18.000000   56.470563    58.181920    63.573416   61.013716  58.937395
