#1.haloMass   #2.quartil1   #3.median   #4.quartil3   #5.quartil4
1.100000e+01   -4.628284    -4.000457    -3.372630   -2.744803
1.102400e+01   -2.933786    -2.825222    -2.644356   -2.409087
1.104800e+01   -6.124810    -2.979295    -2.708205   -2.593800
1.107200e+01   -2.955857    -2.907505    -2.859152   -2.810799
1.109600e+01   -3.685754    -2.775915    -2.589102   -2.499000
1.112000e+01   -2.958801    -2.683435    -2.509650   -2.297078
1.114400e+01   -2.829524    -2.647318    -2.451711   -1.900126
1.116800e+01   -2.754342    -2.517192    -2.372030   -1.422759
1.119200e+01   -2.851434    -2.681984    -2.541885   -1.641918
1.121600e+01   -2.823586    -2.660323    -2.490323   -1.505593
1.124000e+01   -2.775933    -2.554494    -2.361191   -1.114345
1.126400e+01   -2.814067    -2.591489    -2.385164   -1.279749
1.128800e+01   -2.879503    -2.707079    -2.518425   -1.885538
1.131200e+01   -2.767522    -2.549266    -2.329382   -1.367317
1.133600e+01   -2.704995    -2.551705    -2.286265   -1.254903
1.136000e+01   -2.824690    -2.635406    -2.377588   -1.189329
1.138400e+01   -2.920844    -2.736495    -2.558011   -1.845141
1.140800e+01   -2.810279    -2.662100    -2.487938   -1.230864
1.143200e+01   -2.737134    -2.532320    -2.278191   -1.110199
1.145600e+01   -2.678417    -2.544014    -2.270058   -1.290582
1.148000e+01   -2.786391    -2.633992    -2.416940   -1.197061
1.150400e+01   -2.912455    -2.723268    -2.502517   -1.635603
1.152800e+01   -2.826893    -2.674312    -2.480626   -1.585418
1.155200e+01   -2.870821    -2.663485    -2.364270   -1.241346
1.157600e+01   -2.744772    -2.532946    -2.255035   -1.107143
1.160000e+01   -2.776480    -2.579423    -2.231496   -1.165808
1.162400e+01   -2.760612    -2.557803    -2.316024   -1.151713
1.164800e+01   -2.807233    -2.634171    -2.450643   -1.086038
1.167200e+01   -2.852214    -2.697978    -2.510728   -1.276777
1.169600e+01   -2.899808    -2.660092    -2.311173   -1.358704
1.172000e+01   -2.881888    -2.701414    -2.266899   -1.190884
1.174400e+01   -2.817416    -2.617821    -2.296613   -1.238900
1.176800e+01   -2.671894    -2.361100    -1.800260   -1.206538
1.179200e+01   -2.540940    -2.287403    -1.516843   -1.147128
1.181600e+01   -2.694925    -2.387943    -1.587335   -1.097431
1.184000e+01   -2.610203    -2.355536    -1.558344   -1.161900
1.186400e+01   -2.751358    -2.451433    -1.858898   -1.183171
1.188800e+01   -2.761744    -2.428085    -1.551485   -1.218613
1.191200e+01   -2.528580    -2.128828    -1.536503   -1.220169
1.193600e+01   -2.676205    -2.441441    -1.593886   -1.158667
1.196000e+01   -2.916901    -2.604988    -2.266162   -1.311536
1.198400e+01   -2.829620    -2.597551    -2.180135   -1.373107
1.200800e+01   -2.830321    -2.589419    -2.257401   -1.330131
1.203200e+01   -2.768236    -2.289945    -1.731651   -1.312819
1.205600e+01   -2.750596    -2.465974    -1.836718   -1.236188
1.208000e+01   -2.683525    -2.472257    -1.806947   -1.229826
1.210400e+01   -2.795411    -2.247694    -1.704689   -1.270617
1.212800e+01   -2.711796    -2.397043    -1.831994   -1.288181
1.215200e+01   -2.875135    -2.411991    -2.026368   -1.348612
1.217600e+01   -2.576389    -2.221110    -1.626988   -1.339093
1.220000e+01   -2.844276    -2.624027    -2.037065   -1.443069
1.222400e+01   -2.767100    -2.390810    -1.552197   -1.366592
1.224800e+01   -2.592616    -2.056382    -1.632697   -1.332225
1.227200e+01   -2.386674    -1.720401    -1.503874   -1.382900
1.229600e+01   -2.134857    -1.671159    -1.494819   -1.352794
1.232000e+01   -2.714910    -1.827640    -1.598999   -1.350806
1.234400e+01   -2.721128    -1.991651    -1.520009   -1.337503
1.236800e+01   -2.356006    -1.845208    -1.501028   -1.358687
1.239200e+01   -2.598242    -2.097545    -1.654285   -1.372043
1.241600e+01   -1.715854    -1.596073    -1.526583   -1.432701
1.244000e+01   -1.906767    -1.681131    -1.627780   -1.515155
1.246400e+01   -2.173103    -1.657928    -1.572869   -1.467037
1.248800e+01   -2.554510    -1.956351    -1.699073   -1.571410
1.251200e+01   -2.308317    -1.750216    -1.636318   -1.506295
1.253600e+01   -2.429936    -1.978375    -1.591056   -1.471854
1.256000e+01   -2.256051    -1.759358    -1.710725   -1.517316
1.258400e+01   -2.570226    -2.194258    -1.808173   -1.560055
1.260800e+01   -2.261652    -2.031969    -1.781768   -1.693452
1.263200e+01   -2.545962    -2.041960    -1.846131   -1.550750
1.265600e+01   -2.335059    -2.011643    -1.819634   -1.579406
1.268000e+01   -2.059838    -1.897341    -1.807910   -1.601593
1.270400e+01   -2.215347    -2.066069    -1.768942   -1.596635
1.272800e+01   -2.347337    -1.899582    -1.688849   -1.610463
1.275200e+01   -2.610026    -2.374797    -2.017998   -1.898511
1.277600e+01   -2.421924    -2.230326    -1.846516   -1.789038
1.280000e+01   -2.788253    -2.611213    -2.157355   -1.848616
1.282400e+01   -2.553103    -2.392717    -2.273038   -2.043412
1.284800e+01   -2.322941    -2.050406    -2.003699   -1.967729
1.287200e+01   -1.925956    -1.808061    -1.750448   -1.618901
1.289600e+01   -2.381194    -2.290765    -1.980292   -1.744557
1.292000e+01   -2.113633    -2.092682    -2.036950   -1.708986
1.294400e+01   -2.335247    -2.258192    -2.025966   -1.914853
1.296800e+01   -2.258191    -2.118492    -2.050359   -1.844141
1.299200e+01   -2.464611    -2.075834    -2.034512   -1.860269
