#1.mvir(z=0)    #2.firstZ
1.000980E+13   0.081000
9.828380E+12   0.081000
9.788960E+12   0.081000
9.779000E+12   0.081000
9.396500E+12   0.081000
9.330370E+12   0.081000
9.245240E+12   0.081000
9.216130E+12   0.081000
9.099181E+12   0.081000
9.057021E+12   0.081000
8.932170E+12   0.081000
8.914340E+12   0.087000
8.860590E+12   0.081000
8.797750E+12   0.081000
8.664660E+12   0.081000
8.586750E+12   0.081000
8.566540E+12   0.081000
8.443900E+12   0.081000
8.440210E+12   0.081000
8.410590E+12   0.081000
8.254010E+12   0.081000
8.234920E+12   0.081000
8.192690E+12   0.081000
8.189890E+12   0.081000
8.185540E+12   0.081000
8.135060E+12   0.081000
8.128350E+12   0.081000
8.116400E+12   0.081000
8.114790E+12   0.081000
8.013500E+12   0.081000
7.950790E+12   0.081000
7.942380E+12   0.081000
7.934510E+12   0.081000
7.902980E+12   0.081000
7.900200E+12   0.081000
7.835450E+12   0.081000
7.833430E+12   0.081000
7.799530E+12   0.081000
7.772590E+12   0.081000
7.728070E+12   0.081000
7.692200E+12   0.081000
7.542450E+12   0.081000
7.515400E+12   0.081000
7.347610E+12   0.081000
7.344510E+12   0.081000
7.325440E+12   0.081000
7.292050E+12   0.081000
7.190020E+12   0.081000
7.145040E+12   0.081000
7.143980E+12   0.081000
7.132850E+12   0.081000
7.128610E+12   0.081000
7.124040E+12   0.081000
7.035860E+12   0.081000
7.029760E+12   0.081000
7.029700E+12   0.081000
7.022010E+12   0.081000
6.990020E+12   0.081000
6.984820E+12   0.081000
6.978730E+12   0.081000
6.823540E+12   0.081000
6.818300E+12   0.081000
6.815310E+12   0.081000
6.769890E+12   0.081000
6.760730E+12   0.081000
6.575460E+12   0.081000
6.555060E+12   0.081000
6.531560E+12   0.081000
6.486870E+12   0.081000
6.473280E+12   0.081000
6.471900E+12   0.081000
6.453580E+12   0.081000
6.447170E+12   0.081000
6.423500E+12   0.081000
6.410320E+12   0.081000
6.330220E+12   0.081000
6.321680E+12   0.141000
6.250590E+12   0.081000
6.137780E+12   0.081000
6.083940E+12   0.081000
6.073300E+12   0.081000
5.957330E+12   0.081000
5.946990E+12   0.081000
5.889420E+12   0.081000
5.863160E+12   0.081000
5.848040E+12   0.081000
5.834710E+12   0.081000
5.721390E+12   0.081000
5.716510E+12   0.081000
5.710940E+12   0.081000
5.553340E+12   0.081000
5.541600E+12   0.081000
5.504420E+12   0.081000
5.504110E+12   0.081000
5.492730E+12   0.081000
5.436550E+12   0.081000
5.349840E+12   0.081000
5.287550E+12   0.081000
5.281960E+12   0.081000
5.274320E+12   0.081000
5.257020E+12   0.081000
5.237210E+12   0.081000
5.139940E+12   0.081000
5.130540E+12   0.081000
5.082350E+12   0.081000
5.038890E+12   0.081000
5.013330E+12   0.081000
