#1.haloMass    #2.haloMassLow	 #3.haloMassHigh    #4.stellarMass    #5.stellarMassLow	   #6.stellarMassHigh	 #7.bulgeMass	   #8.bulgeMassLow	#9.bulgeMassHigh     #10.gasMass
1.9E12		   0.2E12	   5.5E12		6.43E10		   5.8E10	      7.03E10		    2.95E10	       2.75E10		   3.15E10		 7E9	
1.9E12		   0.2E12	   5.5E12		6.43E10		   5.8E10	      7.03E10		    2.95E10	       2.75E10		   3.15E10		 7E9	
1.9E12		   0.2E12	   5.5E12		6.43E10		   5.8E10	      7.03E10		    2.95E10	       2.75E10		   3.15E10		 7E9	




12.3E11	       6.3E11		 30.3E11	    11E10		10E10		      19E10		3.2E10		     4E10	  7.5E10		  5.2E9 
1.9E12		   0.2E12	   5.5E12		6.43E10		   5.8E10	      7.03E10		    2.95E10	       2.75E10		   3.15E10		 7E9		
	
	
	
	
	
	
