#i-band           #i-bandErrror     #velocity         #velocityError
-21.38		  0.14		    125.9	      2.59
-20.26		  0.13		    130.7	      5.41
-20.12		  0.12		    85		      10.42
-21.26		  0.17		    125.3	      7.51
-21.14		  0.12		    159.9	      5.3
-22.41		  0.11		    236.2	      3.61
-22		  0.33		    200.7	      1.88
-22.61		  0.15		    206.3	      5.44
-22.32		  0.06		    288.4	      5.6
-21.39		  0.14		    197.8	      5.3
-22.09		  0.08		    212.8	      18.92
-22.63		  0.08		    253		      15.14
-22.22		  0.08		    229		      9.05
-23.52		  0.16		    289.7	      3.09
-21.43		  0.14		    173.4	      3.01
-21.63		  0.15		    180.9	      2.22
-21.48		  0.17		    161.7	      2.73
-22.76		  0.22		    225.2	      3.92
-21.92		  0.14		    179.7	      4.74
-22.5		  0.16		    277.1	      34.85
-21.38		  0.1		    195.8	      5.73
-23.02		  0.23		    310.8	      11.27
-22.39		  0.14		    189.5	      2.63
-22.37		  0.12		    230.9	      3.52
-21.44		  0.16		    166.5	      2.12
-18.64		  0.13		    75.81	      8.53
-19.19		  0.15		    76.63	      3.64
-22.52		  0.1		    201.8	      1.77
-22.78		  0.12		    235.1	      3.47
-22.36		  0.06		    216		      3.35
-21.71		  0.16		    191.2	      3.43
-21.81		  0.12		    102.9	      4.08
-22.69		  0.16		    245.9	      3.7
-23.03		  0.24		    241.1	      2.48
-22.2		  0.09		    211.3	      3.52
-21.66		  0.1		    181.7	      6.39
-22.52		  0.09		    253.2	      3.51
-22.89		  0.18		    240.8	      6.02
-23.03		  0.16		    246.6	      2.41
-21.54		  0.2		    180.4	      3.01
-22.24		  0.09		    184.1	      3.19
-22.43		  0.11		    215.8	      3.67
-22.28		  0.13		    196.2	      3.64
-21.79		  0.08		    187.3	      3.27
-22.37		  0.17		    196.2	      2.85
-20.14		  0.11		    99.89	      1.67
-22.38		  0.12		    225.8	      2.49
-21.83		  0.09		    196.9	      2.22
-21.81		  0.12		    157.2	      3.7
-18.66		  0.1		    83.27	      10.19
-21.61		  0.14		    198.9	      21.1
-19.48		  0.15		    95.73	      3.73
-22.33		  0.16		    253		      4.61
-21.04		  0.1		    174.2	      4.07
-19.01		  0.14		    89.33	      13.12
-22.5		  0.16		    246		      4.41







2011-04-30 13:45                                                Página 2


-21.41		  0.22		    162.1	      3.3
-21.05		  0.13		    175.6	      3.67
-21.82		  0.21		    138.6	      1.99
-19.48		  0.16		    82.26	      3.3
-20.07		  0.15		    96.2	      5.17
-22.16		  0.14		    255.9	      3.6
-22.2		  0.11		    211.8	      3.26
-19.35		  0.16		    106		      4.68
-21.13		  0.15		    141		      2.94
