#1.stellarMass   #2.quartil1   #3.median   #4.quartil3   #5.mean  #6.sigma2
9.000000   0.431560    0.547917    0.666806   0.550271  0.029778
9.066667   0.387986    0.448599    0.587113   0.481169  0.029160
9.133333   0.336660    0.500204    0.654965   0.498686  0.034979
9.200000   0.311518    0.478815    0.630706   0.464102  0.046719
9.266667   0.315232    0.460959    0.593312   0.464152  0.034984
9.333333   0.259283    0.387076    0.514309   0.405836  0.036780
9.400000   0.212304    0.348169    0.513914   0.373076  0.035177
9.466667   0.231493    0.391171    0.541051   0.386619  0.027906
9.533333   0.211073    0.349864    0.489269   0.365571  0.030420
9.600000   0.212591    0.320759    0.456410   0.339370  0.025749
9.666667   0.211707    0.337805    0.478667   0.346695  0.029620
9.733333   0.186873    0.277935    0.430225   0.312671  0.027590
9.800000   0.174184    0.274991    0.394150   0.295059  0.023085
9.866667   0.200987    0.291794    0.426667   0.315880  0.025700
9.933333   0.176186    0.250704    0.407684   0.292311  0.023354
10.000000   0.169095    0.292363    0.405388   0.303067  0.025959
10.066667   0.188557    0.260327    0.410832   0.298822  0.021738
10.133333   0.168269    0.250871    0.335898   0.263079  0.017776
10.200000   0.163848    0.263184    0.331530   0.261125  0.016300
10.266667   0.145524    0.229306    0.321955   0.250544  0.019085
10.333333   0.165445    0.234309    0.317291   0.245799  0.013617
10.400000   0.165558    0.229649    0.315015   0.250445  0.016413
10.466667   0.156439    0.228544    0.307018   0.242327  0.013498
10.533333   0.144099    0.208378    0.275538   0.223284  0.012907
10.600000   0.111741    0.201043    0.261321   0.207932  0.011804
10.666667   0.110371    0.182096    0.243732   0.196573  0.011223
10.733333   0.106179    0.173018    0.231568   0.184483  0.010095
10.800000   0.109737    0.170583    0.258467   0.193649  0.010884
10.866667   0.110660    0.164909    0.203600   0.175227  0.008473
10.933333   0.113470    0.158931    0.217164   0.180682  0.008644
11.000000   0.133042    0.166362    0.232858   0.189228  0.005825
