#vel.    #gas mass  #star mass
243      8.892      10.724
207      9.509      10.94
128      9.781      10.008
233      10.185      11.024
129      9.231      10.096
174      9.648      10.44
209      9.195      10.864
147      9.435      9.92
168      10.056      10.616
180      9.493      10.516
123      8.933      9.852
181      9.523      10.5
191      8.940      10.584
131      9.867      10.16
189      8.566      10.5
201      9.048      10.692
118      9.436      9.792
192      9.222      10.6
192      9.385      10.588
115      8.851      9.768
108      9.616      10.024
138      9.493      10.328
184      9.121      10.544
130      9.656      10.204
136      9.486      10.172
136      9.486      10.172
125      8.983      9.892
104      9.291      9.852
135      9.522      10.456
125      9.615      9.864
131      9.322      9.792
110      9.501      9.888
164      8.866      10.316
164      9.102      10.8
130      9.471      10.992
122      8.930      10.14
212      9.653      10.668
160      9.730      10.24
136      9.289      10.508
132      9.267      10.28
146      9.319      9.908
139      9.332      10.392
222      9.170      11
145      9.310      10.472
123      9.165      9.716
158      10.083      10.104
136      8.919      10.14
122      9.180      10.056
124      9.248      10.108
175      9.488      10.26
123      9.764      9.82
220      9.297      10.896
199      8.609      10.512
119      8.964      10.116
161      9.138      10.368
173      9.830      10.688
179      9.282      10.484
148      8.903      10.008
194      9.874      10.332
154      8.683      10.076
145      9.519      10.252
73      8.484      9.852
137      9.700      10.264
130      9.358      10.348
184      8.860      10.424
94      8.881      9.832
262      10.187      10.92
137      9.555      9.98
138      9.499      10.184
161      9.478      10.36
166      9.397      10.688
181      10.165      10.808
141      9.470      10.832
132      9.928      10.136
152      9.714      10.652
134      9.664      9.928
174      9.819      10.468
141      9.609      10.208
84      8.065      9.944
167      8.616      10.236
152      9.686      10.104
133      9.061      10.2
208      9.258      10.808
261      10.119      10.74
113      9.331      9.808
217      9.844      10.828
223      8.813      10.564
173      9.948      10.556
149      9.625      10.004
201      9.795      10.78
160      9.444      10.296
179      9.814      10.44
214      9.968      10.66
206      9.646      10.736
140      9.409      10.028
107      9.222      9.904
116      8.927      9.94
157      9.511      10.196
171      9.769      10.628
161      9.854      10.46
211      10.389      10.728
47      9.497      9.904
178      9.627      10.404
129      9.536      9.888
197      9.839      10.228
206      9.630      10.872
132      8.840      9.828
221      9.707      11.044
134      9.753      10.172
123      9.176      9.808
157      9.834      10.404
161      8.897      10.42
150      9.352      10.164
144      9.562      10.26
184      9.141      10.448
155      9.754      10.156
128      9.449      10.128
160      10.015      10.288
118      9.446      10.06
215      9.761      10.804
159      8.966      10.356
149      9.508      10.084
117      9.101      10.264
145      9.589      9.94
117      8.995      10.024
299      9.856      11.248
114      9.272      9.828
129      9.061      10.136
154      9.658      10.224
134      9.523      9.724
170      9.336      10.228
210      8.411      10.416
211      9.553      10.636
201      9.190      10.652
157      9.580      9.876
169      10.157      10.148
215      8.770      10.792
186      9.720      10.592
155      8.884      10.164
141      8.443      10.128
138      9.387      9.936
193      8.153      10.1
144      9.457      10.404
109      8.851      10.072
161      9.574      10.408
259      9.551      11.044
164      9.940      10.204
113      9.035      10.004
150      9.562      10.412
280      9.733      10.924
194      9.419      10.528
184      9.185      10.524
159      9.752      10.292
156      9.564      9.92
183      9.438      10.192
203      9.870      10.524
187      9.276      10.5
155      9.725      10.16
319      9.388      11.328
247      9.073      10.9
134      8.856      10.056
148      9.444      10.316
147      8.952      10.08
221      9.498      10.488
136      9.158      10.08
101      9.257      9.944
156      9.389      10.148
215      10.171      10.696
163      9.172      10.332
175      9.926      10.732
110      8.980      10.252
180      9.077      10.552
169      9.812      9.968
172      9.272      10.628
158      9.753      10.472
142      9.001      10.316
135      9.954      10.092
207      9.216      10.74
219      9.059      10.976
155      9.169      10.076
132      9.595      9.992
127      9.165      9.988
158      9.518      10.184
100      9.441      10.336
136      9.160      10.312
143      9.777      10.092
100      8.813      9.752
132      10.011      10.324
234      9.952      10.88
181      9.491      10.328
192      9.666      10.6
125      9.108      10.156
141      9.602      10.368
130      9.275      9.924
139      9.813      9.784
154      9.637      10.444
173      9.635      10.384
163      8.863      10.456
131      9.296      10.196
207      10.268      10.92
266      10.428      11.024
157      9.559      10.34
142      8.823      10.36
187      8.814      10.096
151      8.115      9.96
166      9.493      10.388
178      8.325      10.424
175      9.228      10.492
211      9.541      10.344
121      9.003      10.284
308      9.224      11.216
206      9.024      10.488
129      8.940      10.116
173      8.509      10.356
96      8.713      9.916
180      9.373      10.556
218      9.242      10.728
139      9.214      10.332
184      9.593      10.728
129      9.504      10.328
286      9.202      10.82
126      9.814      10.244
148      9.696      9.848
214      9.877      10.936
154      9.541      10.292
121      9.351      10.108
166      9.618      10.588
163      9.580      10.224
206      9.800      10.464
183      9.584      10.432
191      9.597      10.736
131      9.289      9.984
146      9.543      10.248
100      9.347      10.212
82      9.243      10.016
121      8.789      10.124
119      9.236      9.856
156      9.058      10.564
256      9.956      10.98
149      9.486      9.948
127      8.704      9.876
179      9.113      10.328
104      8.892      10.272
149      9.263      10.14
145      8.903      10.276
241      9.851      11.004
151      9.571      10.116
198      8.679      10.752
196      9.546      10.744
120      9.353      10.184
99      8.972      9.824
144      9.537      10.164
210      9.875      10.776
157      9.516      10.872
144      9.443      10.216
95      8.396      9.728
165      9.748      10.42
148      9.317      10.124
145      10.309      10.64
250      8.864      10.864
225      9.871      10.82
121      9.480      9.956
110      9.202      9.94
134      9.376      10.032
215      9.925      10.74
87      9.014      9.836
188      9.298      10.632
202      9.214      10.212
138      9.811      10.204
181      9.391      10.544
203      9.882      10.956
111      8.727      9.944
249      9.498      10.644
244      9.941      11.068
149      9.365      10.236
114      9.029      10.076
253      9.577      10.656
157      9.244      10.544
206      9.120      10.528
76      8.576      9.94
174      8.872      10.696
137      8.799      10.18
146      9.466      10.376
175      9.410      10.528
131      9.936      10.12
230      9.339      10.944
129      9.534      9.816
215      9.461      11.048
130      8.609      9.964
214      9.980      10.736
154      9.987      10.504
74      9.977      10.264
194      9.022      10.736
125      9.089      9.984
156      8.773      10.54
106      8.768      9.904
135      8.718      10.14
177      9.380      10.796
129      9.447      9.992
135      9.295      10.108
191      9.222      10.58
131      9.456      9.976
123      9.188      9.916
176      9.453      10.496
137      9.047      10.024
138      9.988      10.044
222      8.519      10.632
193      9.409      10.844
157      9.195      10.416
126      8.569      9.988
204      8.795      10.604
113      9.221      9.744
185      9.204      10.632
130      9.575      10.108
90      8.769      9.724
144      9.310      10.104
134      8.899      9.94
119      10.080      10.02
104      7.951      10.004
236      9.638      11.108
193      9.054      10.736
184      9.996      10.896
268      8.778      10.784
195      9.162      11.344
126      9.669      9.896
176      9.629      10.24
111      8.275      9.788
227      9.449      11.02
155      7.863      10.324
129      8.132      10.384
152      8.737      10.5
127      8.813      9.912
191      9.376      10.672
111      7.376      9.94
140      9.045      10.304
183      9.252      10.548
154      8.702      9.756
135      7.243      10.42
99      9.041      9.92
187      9.800      10.54
184      9.760      10.628
94      8.132      10.204
193      9.023      10.628
148      8.525      9.96
289      9.779      11.284
149      9.833      10.604
106      9.190      9.84
187      10.026      11.02
90      10.067      9.788
125      9.865      9.948
250      10.018      11.108
187      7.172      11.112
116      9.563      10.128
139      9.957      10.568
374      8.648      11.248
159      8.967      10.424
216      9.992      10.912
76      7.959      10.188
85      8.825      9.984
114      9.790      9.996
151      9.892      10.192
151      9.293      10.128
197      9.649      10.916
190      9.720      10.688
132      9.235      9.876
210      10.152      10.816
176      9.491      10.544
168      8.840      10.392
148      9.764      10.188
161      9.300      10.576
119      9.068      9.804
182      9.627      10.712
129      9.603      9.932
180      9.911      10.884
124      9.422      9.98
190      9.269      10.476
134      9.284      10.148
127      7.985      10.228
151      9.874      10.156
187      7.843      10.58
159      9.400      10.56
164      9.645      10.232
101      9.529      9.876
118      9.723      9.848
182      9.454      10.5
241      10.274      11.004
107      9.273      9.876
131      9.325      9.812
179      9.647      10.604
290      8.792      11.288
58      8.463      9.812
75      9.609      10.648
184      9.616      10.768
117      9.784      10.072
147      9.637      10.268
230      9.793      11.028
185      9.503      10.568
137      9.392      10.04
113      9.444      10.212
276      9.829      11.236
183      9.718      10.676
171      9.460      10.544
118      9.006      9.928
174      10.229      10.688
254      9.855      10.776
206      9.490      10.736
167      9.484      10.496
126      8.850      9.828
181      9.760      10.528
108      8.851      9.932
188      9.296      10.52
229      9.672      11.048
119      9.051      9.768
149      9.499      10.52
169      8.929      10.356
170      9.821      10.484
199      8.904      10.2
134      9.264      10.384
200      9.158      10.808
206      9.591      10.924
268      10.136      11.044
131      9.067      10.164
152      10.169      10.356
116      9.102      9.732
182      8.800      10.468
215      9.670      10.732
92      8.859      9.9
191      8.481      10.608
182      9.636      10.544
124      9.085      10.164
144      9.833      10.084
136      9.224      9.888
126      9.065      10.156
157      9.494      10.18
171      9.853      10.356
154      9.746      10.22
142      9.509      10.052
